Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10n,
"C10, C4, C5, C6, C7",0603,5,100n,
C3,0603,1,2.2u,
"C8, C9",CP_Elec_4x4.5,2,10u,
"D1, D2, D3, D4, D5",D_SOD-123,5,1n4148,
"D6, D7",D_SOD-123,2,1N5819,
D8,LED_D3.0mm,1,LED,
J1,PJ301M-12-NoHole,1,Gate,
J2,PJ301M-12-NoHole,1,Out,
J3,EuroHeader10,1,EuroPower,
"Q1, Q2, Q3, Q4",SOT-23,4,MMBT3904,
"R1, R5",0603,2,10k,
"R10, R7, R8",0603,3,100R,
R11,0603,1,100k,
R12,0603,1,1k,
"R2, R4, R6, R9",0603,4,4k7,
R3,0603,1,22k,
RV1,POT-9MM-ALPHA,1,B1M,
"RV2, RV4",POT-9MM-ALPHA,2,B500k,
RV3,POT-9MM-ALPHA,1,B10k,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM358,
